word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
benefit,'benifit,something that helps,"n. 利益；好处
v. 有益于；受益",n/v,,,,0,0,,,
abandon,ə'bændən,to leave behind,"v. 抛弃；放弃
n. 放任；狂热",v/n,,,,0,0,,,
adapt,ə'dæpt,to change for a new situation,"v. 适应；改编",v,,,,0,0,,,
analysis,ə'næləsis,a careful study of something,n. 分析；解析,n,,,,0,0,,,
apple,'æpl,a round fruit with red or green skin,n. 苹果,n,,,,0,0,,,
computer,kəm'pjuːtə,a machine that processes data,n. 计算机；电脑,n,,,,0,0,,,
dictionary,'dikʃənəri,a book or resource that explains words,n. 词典；字典,n,,,,0,0,,,
hello,hə'ləʊ,a greeting,int. 你好；喂,int,,,,0,0,,,
study,'stʌdi,to learn about a subject,"v. 学习；研究
n. 学习；研究",v/n,,,,0,0,,,
test,test,a procedure for checking something,"n. 测试；考试
v. 测试；检验",n/v,,,,0,0,,,
